,Unnamed: 0,Text,cleaned_text,len
12833,12889,But there was a surprise.,surprise ,25
12850,12906,"It is sad, but true, that much of what is known about how human brains work has been learned by studying brains that are broken.",sad true much known human brains work learned studying brains broken ,126
12877,12933,She has now narrowed things down.,narrowed things ,33
12887,12943,■Curious about the world?,curious world ,25
12889,12945,"FOR decades scientists have been trying to understand schizophrenia, a distressing disorder that afflicts one in a hundred people.",decades scientists trying understand schizophrenia distressing disorder afflicts one hundred people ,129
12892,12948,"There is presently no hope of a cure because its ultimate cause has long been a mystery.Schizophrenia is known to run in families, so it has always been thought that genes might shed light on the origins of the disease.",presently hope cure ultimate cause long mystery schizophrenia known run families always thought genes might shed light origins disease ,218
12906,12962,"Alzheimer’s disease, for one, has been tied to, among other things, excessive destruction of synapses.",alzheimer disease one tied among things excessive destruction synapses ,98
12914,12970,"However innocuous the changes made, the baby’s birth will mark the first time that humanity has selectively interceded to change the genetic inheritance of future generations.",however innocuous changes made baby birth mark first time humanity selectively interceded change genetic inheritance future generations ,174
12915,12971,"That is an eventuality, Siddhartha Mukherjee argues in his new book, “The Gene”, for which the world is almost wholly unprepared.The book begins in the tranquil gardens of St Thomas’s Abbey in Brno in the mid-19th century.",eventuality siddhartha mukherjee argues new book gene world almost wholly unprepared book begins tranquil gardens st thomas abbey brno mid th century ,215
12916,12972,"It was here that Gregor Mendel, an Augustinian friar, began experiments with pea plants to see how biological traits are passed on from parents to offspring.",gregor mendel augustinian friar began experiments pea plants see biological traits passed parents offspring ,155
12917,12973,"As he bred peas with different characteristics—with purple or white flowers, or tall or dwarf plants—Mendel noticed that no purple-white flowers emerged, nor any plants of medium height.",bred peas different characteristics purple white flowers tall dwarf plants mendel noticed purple white flowers emerged plants medium height ,184
12926,12982,"He writes tenderly, for example, of his two mentally ill uncles: Rajesh, once “the most promising” of the brothers, and Jagu, who “resembled a Bengali Jim Morrison”.",writes tenderly example two mentally ill uncles rajesh promising brothers jagu resembled bengali jim morrison ,155
12957,13013,Then the species began to spread.,species began spread ,33
12962,13018,Which means that early east Africans must have had boats.,means early east africans must boats ,57
12963,13019,"Or, at the least, they must have been good swimmers.",least must good swimmers ,50
12964,13020,SOME light was shone this week on the vexed question of the genetics of race in humans.,light shone week vexed question genetics race humans ,87
12979,13035,But it is probably not the last word on the matter.,probably last word matter ,51
12980,13036,THAT predators often hunt in packs is a commonplace.,predators often hunt packs commonplace ,52
12981,13037,Wolves do it.,wolves ,13
12983,13039,"Even Velociraptor, a species of dinosaur made famous by “Jurassic Park”, is believed to have done it.",even velociraptor species dinosaur made famous jurassic park believed done ,97
12988,13044,They do not eat their prey.,eat prey ,27
12999,13055,But this does not always happen.,always happen ,32
13004,13060,These failed attacks did not leave the bacteria unscathed though.,failed attacks leave bacteria unscathed though ,65
13030,13086,"Memes of Dr Drosten and GIFs of Mrs Merkel, who occasionally appear at press conferences together, have lit up social-media channels frequented by the young.Dr Drosten is also good at anecdotes, talking about his father, who wondered how social distancing would affect his shooting-club celebrations, or the struggles of balancing child care and work.",memes dr drosten gifs mrs merkel occasionally appear press conferences together lit social media channels frequented young dr drosten also good anecdotes talking father wondered social distancing would affect shooting club celebrations struggles balancing child care work ,346
13031,13087,"And he admits to having enjoyed a drink at the pub before they closed down—but always from the bottle, as it is more hygienic.",admits enjoyed drink pub closed always bottle hygienic ,125
13046,13102,This caused much alarm.,caused much alarm ,23
13058,13114,There is a bit of linguistic wriggling here.,bit linguistic wriggling ,44
13068,13124,Most scientists think it jumped from wild animals to humans at a meat market in Wuhan.,scientists think jumped wild animals humans meat market wuhan ,86
13072,13128,Mr Carter and his fellow travellers think they have a smoking gun: a paper written in 1996 by NSA employees entitled “How to make a mint: the cryptography of anonymous electronic cash”.,mr carter fellow travellers think smoking gun paper written nsa employees entitled make mint cryptography anonymous electronic cash ,176
13083,13139,SMALLPOX is a horrible disease.,smallpox horrible disease ,31
13088,13144,The annihilation of an illness that as recently as 1967 was slaughtering 2m people a year is rightly seen as a triumph of modern medicine.But the virus is not gone completely.,annihilation illness recently slaughtering people year rightly seen triumph modern medicine virus gone completely ,169
13092,13148,"The FBI, meanwhile, is trying to work out where they came from—they seem to date from the 1950s—and how they were forgotten.",fbi meanwhile trying work came seem date forgotten ,118
13093,13149,The whole episode is embarrassing.,whole episode embarrassing ,34
13096,13152,"The revelation that America, which might be expected to have good record-keeping, cannot keep track of all its samples does little to inspire trust.But the discovery can be argued the other way, too.",revelation america might expected good record keeping cannot keep track samples little inspire trust discovery argued way ,196
13100,13156,This can take hours.,take hours ,20
13110,13166,They realised that you do not have to wait until the bacteria die before you can tell whether they have been infected.,realised wait bacteria die tell whether infected ,118
13125,13181,"So next time an envelope containing white powder turns up in the post room, you will not have to wait long to find out whether it is dangerous.",next time envelope containing white powder turns post room wait long find whether dangerous ,142
13126,13182,"Better still, doctors will be sure from almost the outset that they are giving the correct antibiotic to infected patients.",better still doctors sure almost outset giving correct antibiotic infected patients ,122
13134,13190,A fifth of them have come out in the past week alone.This is astonishingly fast.,fifth come past week alone astonishingly fast ,80
13137,13193,"With physicians, policymakers and prime ministers all needing the latest science in order to make immediate life-and-death decisions, speed has become paramount.",physicians policymakers prime ministers needing latest science order make immediate life death decisions speed become paramount ,159
13146,13202,The hope of preprinting’s supporters is that this will make the shift to using them irreversible.Speed is good during a public-health emergency.,hope preprinting supporters make shift using irreversible speed good public health emergency ,144
13153,13209,"And his wish, it appears, has been granted.",wish appears granted ,41
13191,13247,Reinfections have become routine.,reinfections become routine ,33
13195,13251,And the outside world has responded.,outside world responded ,36
13208,13264,"The thinking has been that the illness is now milder, that there is nothing more to do and that (events in China notwithstanding) the pandemic is over.",thinking illness milder nothing events china notwithstanding pandemic ,148
13215,13271,"With many such changes, a virus may become better at spreading, at making people ill, or both.",many changes virus may become better spreading making people ill ,91
13234,13290,Another theory about how VOCs originate is back-and-forth transmission of SARS-CoV-2 between people and other animals.,another theory vocs originate back forth transmission sars cov people animals ,116
13235,13291,"Transmission from humans to cats, dogs, mink and deer has been documented.",transmission humans cats dogs mink deer documented ,72
13237,13293,"For a VOC to arise in this way, a variant transmitted from an animal to a human must be able to spread subsequently from person to person.",voc arise way variant transmitted animal human must able spread subsequently person person ,137
13239,13295,The mink virus that infected people looked scary because it was heavily mutated in the animals.,mink virus infected people looked scary heavily mutated animals ,95
13240,13296,But people who caught it did not pass it to others.,people caught pass others ,51
13241,13297,"Still, such transmissions remain a concern.",still transmissions remain concern ,42
13242,13298,Flu viruses also cross back and forth between animals and people.,flu viruses also cross back forth animals people ,65
13264,13320,"Hopes that politicians might, at last, see pandemic illness in the way that they see the defence of the realm, as something requiring the maintenance of a permanent establishment ready to counter threats, seem to be fading.",hopes politicians might last see pandemic illness way see defence realm something requiring maintenance permanent establishment ready counter threats seem fading ,219
13265,13321,"In this respect alone, China’s botched unlocking, though terrible for the people of that country, may have a silver lining.",respect alone china botched unlocking though terrible people country may silver lining ,120
13267,13323,■Curious about the world?,curious world ,25
13271,13327,In 1998 the Nipah virus jumped from bats to pigs in Malaysia before hopping to humans.,nipah virus jumped bats pigs malaysia hopping humans ,81
13272,13328,The Middle East respiratory syndrome (MERS) has infected more than 140 people in the past year.,middle east respiratory syndrome mers infected people past year ,89
13294,13350,"Instead it has become embroiled in acrimony, politics and, at times, conspiracy theory.New diseases in people almost always come from close contact between human populations and animals.",instead become embroiled acrimony politics times conspiracy theory new diseases people almost always come close contact human populations animals ,183
13295,13351,A “spillover” happens when viruses from an animal species jump into humans and then go on to wreak havoc.,spillover happens viruses animal species jump humans go wreak havoc ,103
13305,13361,"Soon after a mysterious new pneumonia appeared in China, the source of the disease was quickly pinned to the animals sold in the Huanan Seafood Market in Wuhan.",soon mysterious new pneumonia appeared china source disease quickly pinned animals sold huanan seafood market wuhan ,159
13306,13362,Many (although not all) of the people who had become sick had worked at or visited this site.Yet a “natural” spillover is not the only route by which a new virus might enter humans.,many although people become sick worked visited site yet natural spillover route new virus might enter humans ,177
13311,13367,(Dr Worobey says the word has been “happily” co-opted.),dr worobey says word happily co opted ,52
13317,13373,"The animals were sold alive, in cages stacked on top of one another, and in poor conditions.",animals sold alive cages stacked top one another poor conditions ,90
13318,13374,Many shops offered butchering services.,many shops offered butchering services ,39
13336,13392,Last week’s release of intelligence will not persuade people on either side that they might be wrong.,last week release intelligence persuade people either side might wrong ,101
13341,13397,■Correction (June 28th): Most infectious diseases come from animals.,correction june th infectious diseases come animals ,63
13345,13401,Sorry.,sorry ,6
13348,13404,"The highland town is surrounded by lush countryside in northern Sulawesi, home to the Minahasa people and an amazing diversity of wildlife.Much of it makes its way to Tomohon’s covered market, where it is laid out on countless butchers’ slabs: warty pigs, flying foxes (actually, a fruit bat), reticulated pythons and the Sulawesi giant rat.",highland town surrounded lush countryside northern sulawesi home minahasa people amazing diversity wildlife much makes way tomohon covered market laid countless butchers slabs warty pigs flying foxes actually fruit bat reticulated pythons sulawesi giant rat ,332
13349,13405,"Before feast days other specimens, all illegally caught, find their way to the stalls, among them the rare Celebes crested macaque, a large jet-black monkey, and the Sulawesi bear cuscus, a tree-dwelling marsupial.",feast days specimens illegally caught find way stalls among rare celebes crested macaque large jet black monkey sulawesi bear cuscus tree dwelling marsupial ,208
13350,13406,"Domestic dogs in cages also wait their turn as traders with blow torches burn off slaughtered animals’ fur, setting their faces in a rictus grin.",domestic dogs cages also wait turn traders blow torches burn slaughtered animals fur setting faces rictus grin ,143
13352,13408,"Scott Morrison, Australia’s prime minister, has called for their closure, as have American senators from both sides of the chamber.",scott morrison australia prime minister called closure american senators sides chamber ,128
13353,13409,"No wonder, you might think.",wonder might think ,26
13355,13411,"Bustling markets selling live wild animals, often piled one atop the other, also give virologists the heebie-jeebies.",bustling markets selling live wild animals often piled one atop also give virologists heebie jeebies ,115
13356,13413,It may have been an unhappy coincidence—any place that brings hundreds of humans together in close proximity has the potential to spread a disease.,may unhappy coincidence place brings hundreds humans together close proximity potential spread disease ,147
13358,13415,"What is undeniable is that Wuhan, in which live pangolins, civets and other wild species were sold, is exactly the sort of place where a new zoonotic disease might originate.Mankind has fought several bitter battles against virulent enemies that emerged from live wild animals in wet markets, although such diseases’ exact sources are often murky.",undeniable wuhan live pangolins civets wild species sold exactly sort place new zoonotic disease might originate mankind fought several bitter battles virulent enemies emerged live wild animals wet markets although diseases exact sources often murky ,342
13359,13416,"One of the most recent was SARS, another coronavirus that spread around the globe in 2003, which was believed to have been passed to locals through bats, via civets sold for meat in a marketplace in Guangdong, also in China.",one recent sars another coronavirus spread around globe believed passed locals bats via civets sold meat marketplace guangdong also china ,215
13360,13417,"Wild animals are particularly dangerous because humans have not grown accustomed to—or conquered—their bugs, as they have with many domesticated species.",wild animals particularly dangerous humans grown accustomed conquered bugs many domesticated species ,152
13365,13422,"Markets are often watery because they are sluiced down, or because of the melting of the ice used to stop food from spoiling.",markets often watery sluiced melting ice used stop food spoiling ,124
13366,13423,"The description contrasts with places that sell dry goods, such as rice and grains.Wet markets come in many forms.",description contrasts places sell dry goods rice grains wet markets come many forms ,113
13370,13427,"A vendor will spend the whole day handling birds, cleaning their droppings and inhaling the same air.",vendor spend whole day handling birds cleaning droppings inhaling air ,100
13371,13428,"Zoonoses like brucellosis, a bacterial infection common in cattle, kill thousands of Ugandans each year, not least through infected meat.",zoonoses like brucellosis bacterial infection common cattle kill thousands ugandans year least infected meat ,134
13373,13430,"With the exception of chickens, which are sold live, most animals in Kampala’s market have been slaughtered in abattoirs, rather than freshly killed in the market.",exception chickens sold live animals kampala market slaughtered abattoirs rather freshly killed market ,160
13374,13431,"Cases of animal-to-human disease transmission in Uganda have happened “mainly in the village”, where beasts are slaughtered in homes without any inspections at all, says Winyi Kaboyo, a public-health expert.",cases animal human disease transmission uganda happened mainly village beasts slaughtered homes without inspections says winyi kaboyo public health expert ,202
13375,13432,"And although wild animals are eaten in the countryside, they tend not to be traded—openly at least—in cities.Closing down wet markets would have wider implications.",although wild animals eaten countryside tend traded openly least cities closing wet markets would wider implications ,163
13377,13434,Across the whole country it has been estimated that such places handle 73% of all the fresh vegetables and meat that is bought.,across whole country estimated places handle fresh vegetables meat bought ,123
13384,13441,"Prices also tend to be negotiable, particularly when the customer has a long-standing relationship with a seller.",prices also tend negotiable particularly customer long standing relationship seller ,112
13385,13442,"And some Chinese cities subsidise land for markets, in recognition of their important role in keeping locals fed and healthy, says Mr Si.",chinese cities subsidise land markets recognition important role keeping locals fed healthy says mr si ,135
13386,13443,"This further helps sellers keep things cheap.All of which means that rather than pushing for the wholesale banning of wet markets, many scientists are calling for a more subtle approach.",helps sellers keep things cheap means rather pushing wholesale banning wet markets many scientists calling subtle approach ,185
13389,13446,Plenty of people will continue to call for outright closures.,plenty people continue call outright closures ,61
13390,13447,A lot of non-Westerners view this as cultural deafness.,lot non westerners view cultural deafness ,55
13391,13448,“Chinese prefer to buy their food fresh—living.,chinese prefer buy food fresh living ,47
13393,13450,"Plenty think a ban on wet markets would be absurd, adds Mr Si.",plenty think ban wet markets would absurd adds mr si ,61
13394,13451,“It is like Chinese people calling for a ban on supermarkets.”A full ban would also threaten to throw up an unintended consequence.,like chinese people calling ban supermarkets full ban would also threaten throw unintended consequence ,130
13395,13452,"By forbidding the selling of live meat in places where it is a “strong part of its source of food or a cultural pull,” says Mr Restif, “it will just go to the black market, where there can be no regulation.” Mr Ben Embarak agrees.",forbidding selling live meat places strong part source food cultural pull says mr restif go black market regulation mr ben embarak agrees ,222
13397,13454,"Overseeing this in countries where the rule of law is weak will not be easy, he acknowledges.",overseeing countries rule law weak easy acknowledges ,92
13399,13456,"The lesson of recent pandemics, he says, is that “we can’t carry on doing the same thing we’ve done for centuries.”China, for one, seems to be listening.",lesson recent pandemics says carry thing done centuries china one seems listening ,147
13400,13457,It has made permanent a ban it put in place on the selling of all wild live animals (other than seafood) at its markets.,made permanent ban put place selling wild live animals seafood markets ,118
13401,13458,"Rules might also encompass a prohibition on their breeding for food even if they were slaughtered away from the market—although to much dismay, such regulation may not include beasts used in traditional medicines.No matter how well-regulated wet markets are, it will not end the threat of zoonotic diseases.",rules might also encompass prohibition breeding food even slaughtered away market although much dismay regulation may include beasts used traditional medicines matter well regulated wet markets end threat zoonotic diseases ,305
13402,13459,"Their danger lurks wherever humans encroach on wild animals, whether through logging, the building of settlements or the hunting and selling of meat.",danger lurks wherever humans encroach wild animals whether logging building settlements hunting selling meat ,147
13405,13462,"LAUREN GUNDERSON has an abiding interest in dramatising the lives of scientists; she has written plays about Marie Curie, Ada Lovelace and Henrietta Leavitt, among others.",lauren gunderson abiding interest dramatising lives scientists written plays marie curie ada lovelace henrietta leavitt among others ,168
13410,13467,Gradually he realises that he is in a play written by his wife.,gradually realises play written wife ,63
13418,13475,The audience learns about zoonotic diseases (pathogens that jump from animals to humans); how alien viruses are from the rest of planetary life; how to actually measure risk.,audience learns zoonotic diseases pathogens jump animals humans alien viruses rest planetary life actually measure risk ,170
13419,13476,"Ambitious, driven, slightly cocky, the scientist brags: “Give me a catastrophe, and I will give you a plan.” But in the end, even a world-famous virologist is not immune from the blindness to impending disaster that affects everyone.Early in the play, Nathan describes his fear as a child that his grievously ill father will die.",ambitious driven slightly cocky scientist brags give catastrophe give plan end even world famous virologist immune blindness impending disaster affects everyone early play nathan describes fear child grievously ill father die ,319
13420,13477,"“The world is exposed as the delicate thing it really is,” he recalls.",world exposed delicate thing really recalls ,68
13425,13482,"This sense of doubleness enriches the play, lending its themes gravity and weight.",sense doubleness enriches play lending themes gravity weight ,81
13426,13483,"For as the story unfolds, it transpires that on a human scale as well as a planetary one, disasters that are foreseeable can nonetheless rear up to catch societies unawares.",story unfolds transpires human scale well planetary one disasters foreseeable nonetheless rear catch societies unawares ,171
13427,13484,"Prospero will not give away the play’s cunning twist, but Nathan is forced to admit: “I am good at thinking about what comes next.",prospero give away play cunning twist nathan forced admit good thinking comes next ,127
13428,13485,"But I did not see that coming.”The tale could easily have drifted into a Cassandra mode of “I told you so.” But in Ms Gunderson’s hands, it sheds compassionate light on the all-too-human tendency to ignore catastrophe until it is too late.",see coming tale could easily drifted cassandra mode told ms gunderson hands sheds compassionate light human tendency ignore catastrophe late ,234
13429,13486,"“We could all be catastrophists if we would start to understand what actually kills us,” Nathan proclaims.",could catastrophists would start understand actually kills us nathan proclaims ,104
13431,13488,"Riding a motorcycle, skydiving, using heroin come in at 10, 8 and 30 micromorts respectively—while giving birth, for an American woman, is the equivalent of 210 micromorts.",riding motorcycle skydiving using heroin come micromorts respectively giving birth american woman equivalent micromorts ,155
13445,13502,"Variants supposedly came from Kent in Britain, India and South Africa.",variants supposedly came kent britain india south africa ,69
13451,13508,"In other words, there was a dearth of the information necessary to make the best policy decisions.",words dearth information necessary make best policy decisions ,97
13466,13523,"In them clinicians treat patients suffering from atypical, worrying infections such as severe pneumonias or haemorrhagic fever.",clinicians treat patients suffering atypical worrying infections severe pneumonias haemorrhagic fever ,126
13494,13551,In some ways that is unsurprising—yet for a long time China’s government denied that such wildlife markets even existed.,ways unsurprising yet long time china government denied wildlife markets even existed ,120
13499,13556,Yet a market origin would hardly clear the Communist Party of blame.Markets such as the one in Wuhan were greatly shrunk in the aftermath of a previous plague—the deadly SARS outbreak of 2003 which was tied to wildlife trading of just this sort.,yet market origin would hardly clear communist party blame markets one wuhan greatly shrunk aftermath previous plague deadly sars outbreak tied wildlife trading sort ,240
13500,13557,"Back then, scientists inside and outside China warned of the need to keep humans away from wild animals.",back scientists inside outside china warned need keep humans away wild animals ,103
13501,13558,"“Operation Green Sword” seized 30,000 exotic animals from markets and restaurants in Guangdong, the southern province that had been at the centre of that disaster.",operation green sword seized exotic animals markets restaurants guangdong southern province centre disaster ,154
13502,13559,"A national campaign, “Operation Spring Thunder”, subsequently turned up some 900,000 more.Yet individuals and companies who benefited from the wildlife trade resisted the curbs fiercely.",national campaign operation spring thunder subsequently turned yet individuals companies benefited wildlife trade resisted curbs fiercely ,174
13503,13560,Within months restrictions had been relaxed; business soon bounced back.,within months restrictions relaxed business soon bounced back ,71
13506,13563,"That money is made not only from selling animals for their meat but also for fur, for traditional medicine and to be put on display.Since 2020 the government has once again stepped up efforts to solve the problem.",money made selling animals meat also fur traditional medicine put display since government stepped efforts solve problem ,207
13507,13564,"That year Xi Jinping, China’s president, said that eating wildlife “without limits” was a “bad habit” that had to be junked.",year xi jinping china president said eating wildlife without limits bad habit junked ,118
13508,13565,China has imposed a fresh ban on consuming exotic animals.,china imposed fresh ban consuming exotic animals ,58
13509,13566,"But Mr Li, noting that trading creatures for other reasons is still allowed, wonders how long even that prohibition will last.",mr li noting trading creatures reasons still allowed wonders long even prohibition last ,124
13511,13568,They see a chance to avoid blame for a pandemic that has killed millions.,see chance avoid blame pandemic killed millions ,73
13513,13570,"■Subscribers can sign up to Drum Tower, our new weekly newsletter, to understand what the world makes of China—and what China makes of the world.",subscribers sign drum tower new weekly newsletter understand world makes china china makes world ,143
13517,13574,"But it also included “Disease X”.This illness, caused by a pathogen never before seen in humans, would, the panel said, emerge from animals somewhere in a part of the world where people had encroached on wildlife habitats.",also included disease x illness caused pathogen never seen humans would panel said emerge animals somewhere part world people encroached wildlife habitats ,216
13518,13575,It would be more deadly than seasonal influenza but would spread just as easily between people.,would deadly seasonal influenza would spread easily people ,95
13519,13576,"By hitching rides on travel and trade networks, it would journey beyond its continent of origin within weeks of its emergence.",hitching rides travel trade networks would journey beyond continent origin within weeks emergence ,125
13521,13578,"It began late last year in Wuhan, China, and the wider world became aware of it in January.",began late last year wuhan china wider world became aware january ,89
13522,13579,"It has now infected nearly 10m people and killed almost 500,000 of them.",infected nearly people killed almost ,62
13523,13580,That death toll is also likely to reach seven figures before things are over.,death toll also likely reach seven figures things ,77
13524,13581,"For Disease X now has a name: covid-19.Though perhaps the loudest, the WHO’s was not the only warning that something like this might happen.",disease x name covid though perhaps loudest warning something like might happen ,135
13544,13601,Few wild animals spend as much time cooped up with members of their own and other species as do herd animals and their herders.,wild animals spend much time cooped members species herd animals herders ,127
13545,13602,"So when people domesticated animals and began to live in large, fixed settlements they gave viruses many opportunities to jump back and forth between species, a process called viral chatter.",people domesticated animals began live large fixed settlements gave viruses many opportunities jump back forth species process called viral chatter ,188
13546,13603,"Many common diseases date back to the early days of domestication, and the population densities it brought with it.",many common diseases date back early days domestication population densities brought ,114
13548,13605,Smallpox appears to have come from rats.,smallpox appears come rats ,40
13554,13611,That brings people into contact with sources of infection they would not otherwise have encountered.,brings people contact sources infection would otherwise encountered ,100
13555,13612,"And, having encountered them, it is also easier to pass them on.",encountered also easier pass ,62
13558,13615,"The following year it infected 18 people associated with a poultry market in neighbouring Hong Kong, six of whom died.",following year infected people associated poultry market neighbouring hong kong six died ,114
13564,13621,"H5N1 was considerably more lethal than either.In the end, forms of H5N1 that could spread easily from person to person never arose.",hn considerably lethal either end forms hn could spread easily person person never arose ,126
13565,13622,But they came close.,came close ,20
13570,13627,This near miss may have spurred complacency among laymen.,near miss may spurred complacency among laymen ,57
13572,13629,"Among virologists and epidemiologists, though, it was a call to action—and one which came at an opportune time.",among virologists epidemiologists though call action one came opportune time ,109
13598,13655,"Farmers who work with lots of animals day-in and day-out are the most threatened, especially where this happens in the presence of wild animals, too.",farmers work lots animals day day threatened especially happens presence wild animals ,147
13604,13661,But hendra and nipah arrived via horses and pigs respectively that bats had defecated onto.,hendra nipah arrived via horses pigs respectively bats defecated onto ,91
13605,13662,"In the case of MERS, the intermediaries were camels.",case mers intermediaries camels ,51
13612,13670,"They also took blood and faecal samples from animals in the vicinity, such as pigs, chickens, cats, dogs, bats, civets and rats.",also took blood faecal samples animals vicinity pigs chickens cats dogs bats civets rats ,122
13620,13678,Dr Mazet says that as people became aware of the pathogens in their neighbourhoods they could alter their behaviour accordingly.,dr mazet says people became aware pathogens neighbourhoods could alter behaviour accordingly ,128
13637,13695,People do learn from experience.,people learn experience ,32
13640,13698,WHAT is the commonest living thing on Earth?,commonest living thing earth ,44
13642,13700,"But this is not P. ubique’s only claim to fame, for unlike almost every other known cellular creature, it and its relatives have seemed to be untroubled by viruses.As Jonathan Swift put it in a much-misquoted poem, “So, naturalists observe, a flea/Hath smaller fleas that on him prey”.",ubique claim fame unlike almost every known cellular creature relatives seemed untroubled viruses jonathan swift put much misquoted poem naturalists observe flea hath smaller fleas prey ,275
13643,13701,"Parasites, in other words, are everywhere.",parasites words everywhere ,40
13650,13708,"Swift’s wisdom, it seems, still holds good.Tracking down a particular virus in the ocean makes finding a needle in a haystack look a trivial task.",swift wisdom seems still holds good tracking particular virus ocean makes finding needle haystack look trivial task ,144
13653,13711,"The difference between his approach and a homeopath’s was that what homeopathy dilutes almost to nothing are chemicals, and thus cannot breed.",difference approach homeopath homeopathy dilutes almost nothing chemicals thus cannot breed ,141
13656,13714,"Then he waited.After 60 hours, he looked to see what had happened.",waited hours looked see happened ,62
13662,13720,"It thus displaces its host as the likely winner of the most-common-living-thing prize.That does depend, of course, on your definition of “living thing”.",thus displaces host likely winner common living thing prize depend course definition living thing ,148
13672,13730,"The worst was in 1918, when one-quarter of the world's population fell ill and 25m-50m people died.",worst one quarter world population fell ill people died ,89
13674,13732,"In the past week, bird flu has also been reported in birds (and also a person) in Russia and Kazakhstan.Can anything be done to prevent deaths on a widespread scale?",past week bird flu also reported birds also person russia kazakhstan anything done prevent deaths widespread scale ,162
13686,13745,TEMPTING fate is never wise; tempting a flu pandemic is downright foolish.,tempting fate never wise tempting flu pandemic downright foolish ,73
13699,13758,After ten generations evolution worked its (in this case black) magic: the flu had gone airborne.,ten generations evolution worked case black magic flu gone airborne ,94
13712,13771,"As such, they might be unleashed not just by terrorists, but by simple error.",might unleashed terrorists simple error ,75
13715,13774,A LLOWING A SOLDIER to go AWOL is a misfortune.,llowing soldier go awol misfortune ,47
13716,13775,"Allowing a soldier to go AWOL armed with stolen machineguns, four rocket-launchers and a pledge to “join the resistance” and kill Belgium’s top virologist looks like carelessness.",allowing soldier go awol armed stolen machineguns four rocket launchers pledge join resistance kill belgium top virologist looks like carelessness ,176
13717,13776,"The tale of Jurgen Conings’s, a 46-year-old army sharpshooter, who disappeared in May, has diverted Belgium.",tale jurgen conings year old army sharpshooter disappeared may diverted belgium ,102
13718,13777,"A month-long manhunt featuring special forces from five countries, drones and sniffer dogs turned up nothing.",month long manhunt featuring special forces five countries drones sniffer dogs turned nothing ,108
13723,13782,"A reputation for slack policing and arms-smuggling made it a perfect hub for Islamist terrorists, who killed scores between 2015 and 2016 in Belgium and France.",reputation slack policing arms smuggling made perfect hub islamist terrorists killed scores belgium france ,149
13725,13784,"Sometimes the disorder is merely amusing—trains being delayed because of a fire at a waffle factory, for example.",sometimes disorder merely amusing trains delayed fire waffle factory example ,112
13728,13787,"Call it Belgian zen: an ability to cope with a way of life that is sometimes disturbing, sometimes wonderful, but always weird.Belgian zen starts with being comfortable in absurd situations.",call belgian zen ability cope way life sometimes disturbing sometimes wonderful always weird belgian zen starts comfortable absurd situations ,187
13731,13790,"(“I thought I’d come…to see what creativity bubbles up here,” wrote Mr Van Ranst.)",thought come see creativity bubbles wrote mr van ranst ,78
13732,13791,This is a noble Belgian tradition.,noble belgian tradition ,34
13733,13792,"Paul Vanden Boeynants, a butcher who became Belgium’s prime minister and was later convicted for fraud, was kidnapped by a gang of self-styled socialist revolutionaries in 1989.",paul vanden boeynants butcher became belgium prime minister later convicted fraud kidnapped gang self styled socialist revolutionaries ,170
13734,13793,"After a month missing, he appeared in a bizarre joke-strewn press conference that cleared up little.",month missing appeared bizarre joke strewn press conference cleared little ,99
13737,13796,"Expats arrive, write rude things about their hosts, and then leave.",expats arrive write rude things hosts leave ,65
13738,13797,"During a brief stay, Karl Marx dismissed Belgium as “the snug, well-hedged, little paradise of the landlord, the capitalist and the priest”.",brief stay karl marx dismissed belgium snug well hedged little paradise landlord capitalist priest ,134
13739,13798,"Charles Baudelaire, a French writer, spent the final few years of his life in Brussels and planned a book on how he hated the city (“Capital of apes”), the country (“snivelling little ragamuffin”) and its people (“extraordinarily scatter-brained, amazingly thick-headed”).",charles baudelaire french writer spent final years life brussels planned book hated city capital apes country snivelling little ragamuffin people extraordinarily scatter brained amazingly thick headed ,256
13740,13799,Writers in exile have been replaced by EU-wallahs who moan about life in a country with 200 days of rain a year.,writers exile replaced eu wallahs moan life country days rain year ,108
13744,13803,"Whereas other countries suffer from a “computer says no” attitude, Belgium has artisan bureaucrats, who can make obstacles appear or disappear at a whim.",whereas countries suffer computer says attitude belgium artisan bureaucrats make obstacles appear disappear whim ,149
13749,13808,"This country of 11m people has a nest of parliaments: a federal one, one each for its three regions, along with ones for the French, Dutch and German-speaking communities.",country people nest parliaments federal one one three regions along ones french dutch german speaking communities ,165
13753,13812,"In Flanders secessionist parties such as Vlaams Belang, the far-right outfit supported by Conings, scoop up almost half the votes.",flanders secessionist parties vlaams belang far right outfit supported conings scoop almost half votes ,128
13754,13813,"In some ways, secession has already happened.",ways secession already happened ,44
13755,13814,"From cradle to grave, the lives of Belgium’s divided communities barely overlap, with different schools, media, language and lifestyle.",cradle grave lives belgium divided communities barely overlap different schools media language lifestyle ,131
13756,13815,"Its international borders are almost invisible, yet its internal ones are unignorable, as Tony Judt, a historian, pointed out.",international borders almost invisible yet internal ones unignorable tony judt historian pointed ,122
13757,13816,"Secession would be simple, but pointless.",secession would simple pointless ,40
13759,13818,Even its demise would be serene.,even demise would serene ,32
13761,13820,Belgians are almost as rich as Germans and better off than Britons or the French.,belgians almost rich germans better britons french ,81
13763,13822,Property is cheap; wages are high.,property cheap wages high ,33
13765,13824,"In such circumstances, a heavily armed soldier roaming the woods can be brushed off with dark jokes.",circumstances heavily armed soldier roaming woods brushed dark jokes ,99
13766,13825,Partly this is luck.,partly luck ,20
