,Unnamed: 0,Text,cleaned_text,len
4572,4591,"Indeed some people thought the Islamic statement might ultimately have more influence than the papal one: there are more Muslims than Catholics in the world, though Christians as a whole still outnumber followers of Islam.",indeed some people thought the islamic statement might ultimately have more influence than the papal one there are more muslims than catholics in the world though christians as a whole still outnumber followers of islam ,220
4573,4592,"If there is a place where Islam already makes a (benign) difference to environmental policy, it is probably Indonesia (pictured), a Muslim country where conservation-minded NGOs are often inspired by faith.So what does Islam have to say about the environment?",if there is a place where islam already makes a benign difference to environmental policy it is probably indonesia pictured a muslim country where conservation minded ngos are often inspired by faith so what does islam have to say about the environment ,253
4574,4593,"Like the sacred scriptures of other creation-based, monotheistic religions, the Koran presents the whole material world, and the animal kingdom in particular, as a divine miracle to which man must respond with awe and self-restraint.",like the sacred scriptures of other creation based monotheistic religions the koran presents the whole material world and the animal kingdom in particular as a divine miracle to which man must respond with awe and self restraint ,229
4575,4594,"As one sonorous verse puts it:Do you not see that Allah is exalted by whomever is within the heavens and on the earth, and by the birds with wings spread?",as one sonorous verse puts it do you not see that allah is exalted by whomever is within the heavens and on the earth and by the birds with wings spread ,153
4576,4595,"Each of them has known his means of prayer and exalting...Islam talks a lot about the umma or global community of believers; some interpretations give the term a broader meaning, embracing humanity as a whole.",each of them has known his means of prayer and exalting islam talks a lot about the umma or global community of believers some interpretations give the term a broader meaning embracing humanity as a whole ,205
4577,4597,"In green Christian theology there is a somewhat similar idea: man as the ""priest of creation"", in other words a creature whose mission is to preserve and enhance the created world as an offering to God but very often does the opposite.Of course, one of the troubles with religious and inter-religious talk about the environment is that it can easily sound pollyanna-ish.",in green christian theology there is a somewhat similar idea man as the priest of creation in other words a creature whose mission is to preserve and enhance the created world as an offering to god but very often does the opposite of course one of the troubles with religious and inter religious talk about the environment is that it can easily sound pollyanna ish ,365
4582,4602,"The intensity of that effect may vary according to how much money people have to protect themselves from environmental change, but it will not, as far as we know, affect Hindus, Christians, Muslims or atheists in different degrees.",the intensity of that effect may vary according to how much money people have to protect themselves from environmental change but it will not as far as we know affect hindus christians muslims or atheists in different degrees ,226
4583,4603,"As a verse in the New Testament puts it, rain falls on the just and the unjust alike.",as a verse in the new testament puts it rain falls on the just and the unjust alike ,84
4584,4604,"To that extent, it surely behoves all schools of religious and non-religious thought to think hard about the fate of the earth and to talk to one another.",to that extent it surely behoves all schools of religious and non religious thought to think hard about the fate of the earth and to talk to one another ,153
4586,4607,"(On most campuses, these faith-minded scholars are on the defensive; in a world where Saudi bloggers are being flogged and French cartoonists massacred, many a scholar would consider the matter settled by the Roman poet Lucretius, who wrote that ""religion has led to such a mass of evils..."")Then let's meet another hard-pressed minority, the leaders of Turkey's small Christian community.", on most campuses these faith minded scholars are on the defensive in a world where saudi bloggers are being flogged and french cartoonists massacred many a scholar would consider the matter settled by the roman poet lucretius who wrote that religion has led to such a mass of evils then let s meet another hard pressed minority the leaders of turkey s small christian community ,379
4587,4608,"Just like religion-oriented scholars, those clerics serve as guardians of a great cultural inheritance but they get little recognition from the society around them.",just like religion oriented scholars those clerics serve as guardians of a great cultural inheritance but they get little recognition from the society around them ,163
4588,4609,"The Patriarchate of Constantinople, a spiritual institution which goes back at least 17 centuries, enjoys international prestige because of its ""primacy of honour"" within eastern Christianity and its commitment to the environment, but its local activities are circumscribed; it cannot build new churches or educate future clergy.",the patriarchate of constantinople a spiritual institution which goes back at least centuries enjoys international prestige because of its primacy of honour within eastern christianity and its commitment to the environment but its local activities are circumscribed it cannot build new churches or educate future clergy ,320
4589,4610,"Only the Patriarch is allowed to wear his clerical garb in public; his fellow bishops usually wear black suits.For three days this week, these two worlds came together at a gathering organised by the Patriarchate and Southern New Hampshire University: scholars and communicators, mostly of a liberal or radical bent but at least open to the importance of faith, plus Patriarch Bartholomew I and some of the clergy and theologians who serve under him.",only the patriarch is allowed to wear his clerical garb in public his fellow bishops usually wear black suits for three days this week these two worlds came together at a gathering organised by the patriarchate and southern new hampshire university scholars and communicators mostly of a liberal or radical bent but at least open to the importance of faith plus patriarch bartholomew i and some of the clergy and theologians who serve under him ,445
4590,4611,"It happened on a pine-covered, seagull-infested island near Istanbul (known as Heybeliada in Turkish, Halki in Greek, see picture) where the buildings of an old Patriarchal seminary still function as a tiny monastery.",it happened on a pine covered seagull infested island near istanbul known as heybeliada in turkish halki in greek see picture where the buildings of an old patriarchal seminary still function as a tiny monastery ,212
4591,4612,"It was a bold undertaking, given that for most high-brow liberals, ""patriarchy"" ranks high on the list of things they detest.",it was a bold undertaking given that for most high brow liberals patriarchy ranks high on the list of things they detest ,121
4592,4613,"If the Patriarchate were still at the heights of its worldly power, as it existed in Byzantium or even in late Ottoman times, when it represented a prosperous Greek community led by bankers and merchants, progressive academics would probably have been reluctant to attend.",if the patriarchate were still at the heights of its worldly power as it existed in byzantium or even in late ottoman times when it represented a prosperous greek community led by bankers and merchants progressive academics would probably have been reluctant to attend ,269
4594,4615,"And whether they were literary critics, film-makers, icon-painters or clerics, they came to a broadly similar conclusion: by telling or rediscovering good stories, especially stories that will leap easily over cultural boundaries.This is not just a hypothetical challenge.",and whether they were literary critics film makers icon painters or clerics they came to a broadly similar conclusion by telling or rediscovering good stories especially stories that will leap easily over cultural boundaries this is not just a hypothetical challenge ,267
4595,4616,"Next week, Pope Francis will publish an encyclical on climate change that will be hailed as one of the most important religious pronouncements of the early 21st century.",next week pope francis will publish an encyclical on climate change that will be hailed as one of the most important religious pronouncements of the early st century ,166
4596,4617,"Adding to an already-rich body of Catholic thought, it will doubtless delve deeply into early Christian philosophers from Augustine to Aquinas and come up with arresting new conclusions; but only a fraction of the world's 1.2 billlion Catholics will follow its cerebral arguments.",adding to an already rich body of catholic thought it will doubtless delve deeply into early christian philosophers from augustine to aquinas and come up with arresting new conclusions but only a fraction of the world s billlion catholics will follow its cerebral arguments ,274
4598,4619,"For better or worse, far more people consume novels or films by Dan Brown than will ever read an entire papal pronouncement.",for better or worse far more people consume novels or films by dan brown than will ever read an entire papal pronouncement ,123
4599,4620,"As George Handley, an environmentalist and literature professor at Brigham Young University, said at the Turkish gathering, the best stories ""have a universal power to shape our understanding of ourselves...and the world.",as george handley an environmentalist and literature professor at brigham young university said at the turkish gathering the best stories have a universal power to shape our understanding of ourselves and the world ,215
4600,4621,"""So what tales need to be told?", so what tales need to be told ,31
4601,4622,"All communities, from Mormons to Marxists, have their own.",all communities from mormons to marxists have their own ,56
4602,4623,"As was gently explained by Terry Tempest Williams, an author and activist who teaches at the University of Utah, she does not need to make anything up: her writing is rooted in the landscape of the American West, her Mormon heritage and the fact that seven members of her family have died in a cancer epidemic that she and many others blame on nuclear tests in Nevada.",as was gently explained by terry tempest williams an author and activist who teaches at the university of utah she does not need to make anything up her writing is rooted in the landscape of the american west her mormon heritage and the fact that seven members of her family have died in a cancer epidemic that she and many others blame on nuclear tests in nevada ,364
4604,4625,"He knows how to be arcane but as he made clear, he also sees virtue in speaking and narrating plainly.",he knows how to be arcane but as he made clear he also sees virtue in speaking and narrating plainly ,101
4605,4626,"Although he is the nearest thing a literary theorist will ever come to being a best-seller, his writing about say, Bertolt Brecht will always be a recondite taste; but Brecht himself touched millions of people with his plays.James Balog, a documentary-maker and founder of the Earth Vision Institute in Colorado, came to Turkey with spectacular footage of the shrinking and collapsing Arctic ice cap; this could certainly hold the attention of people who might never read a long book or go to the theatre.",although he is the nearest thing a literary theorist will ever come to being a best seller his writing about say bertolt brecht will always be a recondite taste but brecht himself touched millions of people with his plays james balog a documentary maker and founder of the earth vision institute in colorado came to turkey with spectacular footage of the shrinking and collapsing arctic ice cap this could certainly hold the attention of people who might never read a long book or go to the theatre ,499
4607,4628,"At the opposite end of the technological spectrum, multi-framed religious icons have been used to tell elaborate stories of the interaction between man, the animal kingdom and nature.",at the opposite end of the technological spectrum multi framed religious icons have been used to tell elaborate stories of the interaction between man the animal kingdom and nature ,181
4608,4629,"Moreover, as the gathering learned, in any honest portrayal of the way people think, live and deal with the earth, secular and sacred narratives can overlap in unexpected ways.That emerged in a presentation by Raj Patel, a rambunctiously radical Anglo-Indian food economist who teaches at the University of Texas and describes himself as an ""atheist Hindu"".",moreover as the gathering learned in any honest portrayal of the way people think live and deal with the earth secular and sacred narratives can overlap in unexpected ways that emerged in a presentation by raj patel a rambunctiously radical anglo indian food economist who teaches at the university of texas and describes himself as an atheist hindu ,350
4609,4630,He showed a documentary he had made about a rural community in Malawi where nutrition had improved because men were induced to help with cooking.,he showed a documentary he had made about a rural community in malawi where nutrition had improved because men were induced to help with cooking ,145
4610,4631,"At one point in the film, an African lady coaxed a work-shy man by saying: ""God made Eve as well as Adam!""",at one point in the film an african lady coaxed a work shy man by saying god made eve as well as adam ,102
4611,4632,"That line was definitely not inserted at Mr Patel's prompting, and it was enjoyed by the assembled company of ministers of religion, metropolitan bishops, militants, movie-makers and muses.",that line was definitely not inserted at mr patel s prompting and it was enjoyed by the assembled company of ministers of religion metropolitan bishops militants movie makers and muses ,185
4622,4643,"Feeding in trees this way also keeps them safe from ground-based predators, such as foxes.",feeding in trees this way also keeps them safe from ground based predators such as foxes ,89
4626,4647,"Here, the food was sometimes spiked with cineole—a poison often found in eucalyptus leaves.",here the food was sometimes spiked with cineole a poison often found in eucalyptus leaves ,90
4627,4648,"In the other enclosure, the food was always untarnished.",in the other enclosure the food was always untarnished ,55
4630,4651,"It was not quite the sudden shift from litmus red to blue of an acid being neutralised by an alkali, but it was not far off.When the food was toxin-free, the possums spent an average of 40 minutes of every hour eating safely under treelike cover and only 20 minutes in the risky, ground-like enclosure, and that scarcely changed for 1% and 2% cineole.",it was not quite the sudden shift from litmus red to blue of an acid being neutralised by an alkali but it was not far off when the food was toxin free the possums spent an average of minutes of every hour eating safely under treelike cover and only minutes in the risky ground like enclosure and that scarcely changed for and cineole ,335
4631,4652,"The switch began at 5%, and by the time the cineole level had reached 10% the ratio of time the animals spent in the two enclosures had reversed itself—presumably reflecting, though this remains to be tested, the point at which they change trees in the wild.",the switch began at and by the time the cineole level had reached the ratio of time the animals spent in the two enclosures had reversed itself presumably reflecting though this remains to be tested the point at which they change trees in the wild ,248
4641,4662,"The viewer is shown a giant earth-moving machine from high above, hacking away at a mountain in Hungary, followed by the man who operates it—the camera follows close behind as he walks the hundreds of metres up the vast metal contraption to his cabin.",the viewer is shown a giant earth moving machine from high above hacking away at a mountain in hungary followed by the man who operates it the camera follows close behind as he walks the hundreds of metres up the vast metal contraption to his cabin ,249
4642,4663,"Later, enjoying a lunchtime sandwich, the worker talks of his alarm at the rapidly shrinking glaciers in the region where he goes on holiday every year.Mr Geyrhalter anchors “Earth” (pictured below) in interviews with labourers in the mining trade (something of a departure for a director who has often preferred an observational mode).",later enjoying a lunchtime sandwich the worker talks of his alarm at the rapidly shrinking glaciers in the region where he goes on holiday every year mr geyrhalter anchors earth pictured below in interviews with labourers in the mining trade something of a departure for a director who has often preferred an observational mode ,328
4643,4664,"An American foreman engaged in levelling a range in California expresses unease about the speed with which he and his team can destroy vast, ancient lands in a matter of months: “Do I want to tear the hills down?",an american foreman engaged in levelling a range in california expresses unease about the speed with which he and his team can destroy vast ancient lands in a matter of months do i want to tear the hills down ,209
4644,4665,No!” Yet he sees no other option given the demands of the market.,no yet he sees no other option given the demands of the market ,63
4645,4666,"A worker employed at a mine in Spain, a site once exploited by the ancient Romans, muses on the rise and fall of empires, and how they always sow the seeds of their own destruction.",a worker employed at a mine in spain a site once exploited by the ancient romans muses on the rise and fall of empires and how they always sow the seeds of their own destruction ,178
4658,4679,"Hard questions have been asked about why the vessel, which was known to have a leaky container of acid, was allowed to enter Sri Lankan waters.So naturally all that many Sri Lankans have discussed for the past week is Piumi Hansamali, a 28-year-old model and actress.",hard questions have been asked about why the vessel which was known to have a leaky container of acid was allowed to enter sri lankan waters so naturally all that many sri lankans have discussed for the past week is piumi hansamali a year old model and actress ,261
4659,4680,"On the same day that the ship sank, police in the capital, Colombo, bundled Ms Hansamali and more than a dozen other people into an old bus and drove them to Passara, a distant village, for a compulsory two-week quarantine.",on the same day that the ship sank police in the capital colombo bundled ms hansamali and more than a dozen other people into an old bus and drove them to passara a distant village for a compulsory two week quarantine ,218
4661,4682,"Wiping sweat off her brow, she heaped wrath on a television journalist who had urged police to punish the revellers (he later complained to police of death threats).The online rant was viewed over 34,000 times and set off a social-media firestorm about class, influence and privilege.",wiping sweat off her brow she heaped wrath on a television journalist who had urged police to punish the revellers he later complained to police of death threats the online rant was viewed over times and set off a social media firestorm about class influence and privilege ,273
4662,4683,"When allegations later emerged that Sarath Weerasekera, the public-security minister, had ordered the bus to turn round so that its occupants could pick up clothes, the maritime disaster was all but forgotten.",when allegations later emerged that sarath weerasekera the public security minister had ordered the bus to turn round so that its occupants could pick up clothes the maritime disaster was all but forgotten ,206
4664,4685,"Ms Hansamali, for her part, made the best of a bad situation and took to posting pictures on Instagram of her quarantine digs (pictured).The episode reflects a deeper unhappiness with the government’s enforcement of lockdown rules.",ms hansamali for her part made the best of a bad situation and took to posting pictures on instagram of her quarantine digs pictured the episode reflects a deeper unhappiness with the government s enforcement of lockdown rules ,227
4665,4686,"For days before the bus incident, police had cracked down on violators, in some cases physically carrying them off the streets.",for days before the bus incident police had cracked down on violators in some cases physically carrying them off the streets ,125
4667,4688,Nor was the hotel punished for allowing the bash.,nor was the hotel punished for allowing the bash ,49
4668,4689,"Three recent deaths in custody—including one on June 6th, in which a man seeking food for his family was detained for breaching travel restrictions and died after falling from a police vehicle—have sharpened the sense of double standards.",three recent deaths in custody including one on june th in which a man seeking food for his family was detained for breaching travel restrictions and died after falling from a police vehicle have sharpened the sense of double standards ,236
4669,4690,"Mr Weerasekera addressed Parliament two days later, to defend himself against allegations that he gave Ms Hansamali special treatment after she called him.Yet the embarrassment for the government is minor compared with the political headache the sunken ship is threatening to become.",mr weerasekera addressed parliament two days later to defend himself against allegations that he gave ms hansamali special treatment after she called him yet the embarrassment for the government is minor compared with the political headache the sunken ship is threatening to become ,282
4674,4695,But gone is any public interest in the firefighting capacity of the port of Colombo or whether chumminess between local shipping agents and officials played a part in the vessel being waved through.,but gone is any public interest in the firefighting capacity of the port of colombo or whether chumminess between local shipping agents and officials played a part in the vessel being waved through ,198
4678,4699,"IN THE waters of Kongsfjord, an inlet on the coast of Spitsbergen, sit nine contraptions that bring nothing to mind as much as monster condoms.",in the waters of kongsfjord an inlet on the coast of spitsbergen sit nine contraptions that bring nothing to mind as much as monster condoms ,141
4708,4729,"If some creatures can tolerate lower pHs and others cannot, you might expect things to average out: the tolerant and adaptable prosper, the more pernickety perish.",if some creatures can tolerate lower phs and others cannot you might expect things to average out the tolerant and adaptable prosper the more pernickety perish ,160
4711,4732,"The ecology of the oceans is all about who eats what, and small changes in the population of certain creatures near the bottom of the web could have large effects on larger ones that eat them.",the ecology of the oceans is all about who eats what and small changes in the population of certain creatures near the bottom of the web could have large effects on larger ones that eat them ,191
4712,4733,"Some creatures may be double-whammied by having less of what they like to eat and by the pH itself, amplifying the disruption.",some creatures may be double whammied by having less of what they like to eat and by the ph itself amplifying the disruption ,125
4720,4741,"In the first year of their life, pink salmon eat more pteropods than anything else.",in the first year of their life pink salmon eat more pteropods than anything else ,82
4734,4755,"Wherever you look, there is always another other problem.",wherever you look there is always another other problem ,56
4743,4764,She and her colleagues raised a couple of hundred bilbies in a huge enclosure that also contained five feral cats.,she and her colleagues raised a couple of hundred bilbies in a huge enclosure that also contained five feral cats ,114
4745,4766,"She left the animals to get on with life for two years, which, given that bilbies breed four times a year and live for around eight years, was a substantial period for them.",she left the animals to get on with life for two years which given that bilbies breed four times a year and live for around eight years was a substantial period for them ,170
4746,4767,"After some predation and presumably some learning she abstracted 21 bilbies from each enclosure, fitted radio transmitters to them and released them into a third enclosure that had ten hungry cats in it.",after some predation and presumably some learning she abstracted bilbies from each enclosure fitted radio transmitters to them and released them into a third enclosure that had ten hungry cats in it ,199
4748,4769,"Over the subsequent 40 days, ten of the untrained animals were eaten by cats, but only four of the trained ones.",over the subsequent days ten of the untrained animals were eaten by cats but only four of the trained ones ,107
4757,4778,Counting and classifying these so-called ichthyoliths gives a sense of both the abundance and the diversity of the animals in question.Her latest investigation of the matter has yielded a shock.,counting and classifying these so called ichthyoliths gives a sense of both the abundance and the diversity of the animals in question her latest investigation of the matter has yielded a shock ,194
4767,4788,"EARLIER this month a nuclear power station at Oskarshamn, Sweden, had to shut down because a swarm of jellyfish had clogged the pipes it uses to extract cooling water from the Baltic Sea.",earlier this month a nuclear power station at oskarshamn sweden had to shut down because a swarm of jellyfish had clogged the pipes it uses to extract cooling water from the baltic sea ,185
4783,4804,"The disembodied-tentacle question, meanwhile, may be answered by a redesign.",the disembodied tentacle question meanwhile may be answered by a redesign ,74
4793,4814,One way this happens is that the seeds of many species are just the right size and shape to endure passage through the alimentary canals of the animals that swallow them.,one way this happens is that the seeds of many species are just the right size and shape to endure passage through the alimentary canals of the animals that swallow them ,170
4794,4815,"When they eventually end up as part of a dung pile, they are thus far from home.",when they eventually end up as part of a dung pile they are thus far from home ,79
4798,4819,This led Mr Kiepiel to wonder whether the fruit themselves were edible.,this led mr kiepiel to wonder whether the fruit themselves were edible ,71
4799,4820,To this end he experimented on himself and found that they were.,to this end he experimented on himself and found that they were ,64
4800,4821,"Though not particularly pleasant to his taste, lily-fruit flesh had a vague sweetness to it which he suspected might be attractive to other mammals.",though not particularly pleasant to his taste lily fruit flesh had a vague sweetness to it which he suspected might be attractive to other mammals ,147
4801,4822,"He did find also, however, that the seeds tasted ghastly.",he did find also however that the seeds tasted ghastly ,55
4802,4823,"A mere nibble of one was enough to release an awful astringent flavour that lingered on his palate for hours, regardless of any attempt to wash out his mouth.In light of this experience, he and Dr Johnson set up movement-sensitive cameras at three bush-lily colonies.",a mere nibble of one was enough to release an awful astringent flavour that lingered on his palate for hours regardless of any attempt to wash out his mouth in light of this experience he and dr johnson set up movement sensitive cameras at three bush lily colonies ,265
4803,4824,"As they report in Biotropica, over the course of a hundred days these cameras took photographs and videos of samango monkeys coming to the plants and devouring their fruit.Often, when feeding, such monkeys fill their cheek pouches with fruit, which they then consume later, within the safety of a tree.",as they report in biotropica over the course of a hundred days these cameras took photographs and videos of samango monkeys coming to the plants and devouring their fruit often when feeding such monkeys fill their cheek pouches with fruit which they then consume later within the safety of a tree ,297
4804,4825,"In this case, though, the cameras recorded the monkeys gorging themselves on the fruit while next to the lilies, and only rarely storing fruit in their pouches.",in this case though the cameras recorded the monkeys gorging themselves on the fruit while next to the lilies and only rarely storing fruit in their pouches ,157
4806,4827,"But significantly, the cameras showed that the monkeys were, straight away, spitting out the seeds of every fruit they fed on.This habit of spitting out seeds suggested that the monkeys might be distributing them just far enough from their source to keep competition between parents and offspring at a minimum.",but significantly the cameras showed that the monkeys were straight away spitting out the seeds of every fruit they fed on this habit of spitting out seeds suggested that the monkeys might be distributing them just far enough from their source to keep competition between parents and offspring at a minimum ,307
4811,4832,"EVERY FEW weeks from June 1963 until July 1968, Robert Paine, a zoologist, made the journey from Seattle, where he taught at the University of Washington, across Puget Sound to the rocky shores of Mukkaw bay.",every few weeks from june until july robert paine a zoologist made the journey from seattle where he taught at the university of washington across puget sound to the rocky shores of mukkaw bay ,193
4812,4833,"There, he had found virtually pristine tide pools that teamed with life—limpets, anemones, mussels, seaweeds and purple-and-orange seastars known as Pisaster ochraceus.",there he had found virtually pristine tide pools that teamed with life limpets anemones mussels seaweeds and purple and orange seastars known as pisaster ochraceus ,164
4814,4835,"On each visit, Dr Paine systematically removed all the seastars he could find from one patch of rock, lobbing them as far as he could into the waves.He did this for five years, all the while carefully documenting how the shoreline communities evolved.",on each visit dr paine systematically removed all the seastars he could find from one patch of rock lobbing them as far as he could into the waves he did this for five years all the while carefully documenting how the shoreline communities evolved ,248
4816,4837,"But in his seastar-free zone, everything was altered.",but in his seastar free zone everything was altered ,52
4817,4838,"Pisaster is a greedy carnivore that feasts on mussels, barnacles, limpets and snails.",pisaster is a greedy carnivore that feasts on mussels barnacles limpets and snails ,83
4819,4840,The acorn barnacles took over first.,the acorn barnacles took over first ,36
4820,4841,"Later, they were displaced by goose barnacles and mussels.",later they were displaced by goose barnacles and mussels ,57
4861,4883,"What of the reverse, where all plant life is gradually removed?",what of the reverse where all plant life is gradually removed ,62
4893,4916,"Besides pleasing people who like nature, restoring wetlands brings practical benefits.",besides pleasing people who like nature restoring wetlands brings practical benefits ,85
4900,4923,"It is not the wetlands themselves that are bought and sold, but rather “wetland credits”.",it is not the wetlands themselves that are bought and sold but rather wetland credits ,86
4902,4925,They can then be sold to third parties who wish to destroy some wetland elsewhere.,they can then be sold to third parties who wish to destroy some wetland elsewhere ,82
4909,4932,"Rather than actually sending its navvies in to install a new marsh, the state can buy an appropriate amount of wetland credit from people who have earned it the hard way.",rather than actually sending its navvies in to install a new marsh the state can buy an appropriate amount of wetland credit from people who have earned it the hard way ,169
4913,4936,"It also depends, of course, on the local price of other sorts of land.",it also depends of course on the local price of other sorts of land ,68
4928,4951,"So did Bhutan, which came fourth.",so did bhutan which came fourth ,32
4935,4958,"Let me describe what I consider to be a way out of the enigma of awareness leading not to action, but to indifference.",let me describe what i consider to be a way out of the enigma of awareness leading not to action but to indifference ,117
4942,4965,But their livelihood preoccupations did not allow them to heed that request.,but their livelihood preoccupations did not allow them to heed that request ,76
4946,4969,"This area is near the temple town of Chidambaram, where centuries ago the temple builders had chosen a mangrove species as the temple tree.",this area is near the temple town of chidambaram where centuries ago the temple builders had chosen a mangrove species as the temple tree ,138
4947,4970,"Following the tsunami there was a sudden awareness of the reason for this choice, and local people now refer to mangroves as “life-savers”.",following the tsunami there was a sudden awareness of the reason for this choice and local people now refer to mangroves as life savers ,136
4950,4973,Several thousand hectares of rice fields along the coast got inundated with sea water.,several thousand hectares of rice fields along the coast got inundated with sea water ,86
4955,4978,"Fifty years ago, the tribal communities in the Koraput region of Orissa were familiar with more than 1,000 varieties of rice, but at the turn of the century this figure had come down drastically.",fifty years ago the tribal communities in the koraput region of orissa were familiar with more than varieties of rice but at the turn of the century this figure had come down drastically ,187
4959,4982,Preaching does not help.,preaching does not help ,24
4962,4985,"Thirty years ago, when I pointed out to Punjab farmers that the “green revolution” was becoming a “greed revolution” because of the excessive use of mineral fertilisers and the over-exploitation of ground water, they listened politely, but did not change course.",thirty years ago when i pointed out to punjab farmers that the green revolution was becoming a greed revolution because of the excessive use of mineral fertilisers and the over exploitation of ground water they listened politely but did not change course ,255
4963,4986,"Now, in a despairing mood, they are ready to change.",now in a despairing mood they are ready to change ,50
4971,4994,But there is another way to get these metals—from the floor of the Pacific Ocean.,but there is another way to get these metals from the floor of the pacific ocean ,81
4984,5007,"Nor might people fret about knotweed growing at other plants’ expense if it did not also undermine human constructions such as buildings and roads.Until the middle of the 20th century, moving species around the world was reckoned a normal, often valuable, thing to do, while the consequences of their accidental movement were rarely considered.",nor might people fret about knotweed growing at other plants expense if it did not also undermine human constructions such as buildings and roads until the middle of the th century moving species around the world was reckoned a normal often valuable thing to do while the consequences of their accidental movement were rarely considered ,337
4988,5011,But this is just an opinion.,but this is just an opinion ,28
4992,5015,They pertain to things that provide direct human advantage.,they pertain to things that provide direct human advantage ,59
4994,5017,"But they included transplanted grass species that have gone wild, yet provide grazing for stock animals, and introduced forest trees that yield timber for construction.",but they included transplanted grass species that have gone wild yet provide grazing for stock animals and introduced forest trees that yield timber for construction ,166
5002,5025,"Sometimes, in a manner reminiscent of the nursery rhyme in which an old lady swallows a fly, a spider to catch it, and a bird to catch the spider, an introduction may be made to undo a previous harm.",sometimes in a manner reminiscent of the nursery rhyme in which an old lady swallows a fly a spider to catch it and a bird to catch the spider an introduction may be made to undo a previous harm ,195
5009,5032,"Similarly, the wild horses and asses (mustangs and burros) of North America, though not as long established as dingoes, have found places in the hearts of sufficient numbers of people to have active lobbies for their conservation.Relational values can cut both ways, however.",similarly the wild horses and asses mustangs and burros of north america though not as long established as dingoes have found places in the hearts of sufficient numbers of people to have active lobbies for their conservation relational values can cut both ways however ,269
5016,5039,"Seven provided pure benefit, 17 pure cost and 63 both.",seven provided pure benefit pure cost and both ,47
5021,5044,"That done, many species will surely still end up on the debit side of the ledger.",that done many species will surely still end up on the debit side of the ledger ,80
5027,5050,ARACHNOPHOBIA is a common and powerful fear.,arachnophobia is a common and powerful fear ,44
5030,5053,"They prey upon insects in vast quantities, while, for the most part, leaving people alone.",they prey upon insects in vast quantities while for the most part leaving people alone ,87
5037,5060,"Arachnophobes, meanwhile, should consider this: without spiders, there would be an awful lot more other creepy-crawlies around.",arachnophobes meanwhile should consider this without spiders there would be an awful lot more other creepy crawlies around ,123
5043,5066,It can surely be no coincidence that it is a great deal warmer and more pleasant in the tropics than at the poles.,it can surely be no coincidence that it is a great deal warmer and more pleasant in the tropics than at the poles ,114
5062,5085,"Birds feast on bugs, not the other way around.",birds feast on bugs not the other way around ,45
5063,5086,"But that role-reversal is what Mahmood Kolnegari of the Avaye Dornaye Khakestari Institute, in Iran, and Connor Panter of the University of Nottingham, in Britain, saw when they put a camera near the nest of a purple sunbird, in Kerman province, Iran.",but that role reversal is what mahmood kolnegari of the avaye dornaye khakestari institute in iran and connor panter of the university of nottingham in britain saw when they put a camera near the nest of a purple sunbird in kerman province iran ,245
5065,5088,"Praying mantises are known for their aggression, but even so, the attack was a surprise to the researchers.",praying mantises are known for their aggression but even so the attack was a surprise to the researchers ,105
5066,5089,"They assumed it was a bizarre one off until, a month later, they caught a second mantis killing and feeding on a nestling crested lark.",they assumed it was a bizarre one off until a month later they caught a second mantis killing and feeding on a nestling crested lark ,133
5071,5094,WHAT YOU see depends on where you stand.,what you see depends on where you stand ,40
5072,5095,The unarguable fact that most palaeontologists live in the rich world means two things.,the unarguable fact that most palaeontologists live in the rich world means two things ,87
5077,5100,"This is that many of the world’s poor countries have higher priorities than studying their fossils, that letting foreign researchers do it for them is not wrong, provided no laws are broken, and that it is patronising to suggest otherwise.",this is that many of the world s poor countries have higher priorities than studying their fossils that letting foreign researchers do it for them is not wrong provided no laws are broken and that it is patronising to suggest otherwise ,236
5080,5103,But it takes two to tango.,but it takes two to tango ,26
5081,5104,"And not everywhere yet has the political will, institutional depth, or, indeed, money, to join in the dance.",and not everywhere yet has the political will institutional depth or indeed money to join in the dance ,103
5083,5106,A GOOD hobby flatters its practitioners by making them feel skilful.,a good hobby flatters its practitioners by making them feel skilful ,68
5084,5107,"The best hobbies make them feel virtuous too, which is one reason why people get keen on ecological pastimes.",the best hobbies make them feel virtuous too which is one reason why people get keen on ecological pastimes ,108
5088,5111,Cruel nature does not reward its devotees.,cruel nature does not reward its devotees ,42
5090,5113,"He stared at the wall, unable to practise his recreation or his trade, to talk to a friend or pay a bill or manage his existence.",he stared at the wall unable to practise his recreation or his trade to talk to a friend or pay a bill or manage his existence ,127
5091,5114,He found himself in the hospital near Northampton where the marvellous and depressive rural poet John Clare was confined in the 1840s.,he found himself in the hospital near northampton where the marvellous and depressive rural poet john clare was confined in the s ,130
5092,5115,This little book tells how Mr Mabey (unlike poor Clare) came out of his depression.,this little book tells how mr mabey unlike poor clare came out of his depression ,81
5093,5116,"He fell in love, and his new love urged him again to look at and write about the green world.",he fell in love and his new love urged him again to look at and write about the green world ,92
5094,5117,"His home had gone, and he had to start all over again, making a living as a writer, a trade that he says is like being “alone in a room for a very long time, climbing without a rope.” Like Clare, he fashions his rope from observations of reality, exquisitely described.",his home had gone and he had to start all over again making a living as a writer a trade that he says is like being alone in a room for a very long time climbing without a rope like clare he fashions his rope from observations of reality exquisitely described ,260
5096,5119,"He even objects to his own temerity, in having owned and remodelled a neglected woodland that was the most precious of his lost possessions.",he even objects to his own temerity in having owned and remodelled a neglected woodland that was the most precious of his lost possessions ,139
